,Thread,Function,Start,Finish,Duration,Depth
0, UserThread570868, Submitting task,334.00183,334.02324,0.02141,0.0
1, UserThread570868, Scheduling,334.0176,334.02275,0.00515,1.0
2, UserThread570868, Building task,334.02533,334.02601,0.00068,0.0
3, UserThread570868, Submitting task,334.02761,334.041271,0.013661,0.0
4, UserThread570868, Building task,334.043391,334.043981,0.00059,0.0
5, UserThread570868, Submitting task,334.045761,334.053211,0.00745,0.0
6, UserThread570868, Building task,334.055901,334.056471,0.00057,0.0
7, UserThread570868, Submitting task,334.057981,334.066381,0.0084,0.0
8, UserThread570868, Building task,334.068651,334.069441,0.00079,0.0
9, UserThread570868, Submitting task,334.070981,334.077611,0.00663,0.0
10, UserThread570868, Building task,334.079351,334.079921,0.00057,0.0
11, UserThread570868, Submitting task,334.081491,334.088062,0.006571,0.0
12, UserThread570868, Building task,334.089552,334.090112,0.00056,0.0
13, UserThread570868, Submitting task,334.091462,334.097772,0.00631,0.0
14, UserThread570868, Building task,334.099202,334.099772,0.00057,0.0
15, UserThread570868, Submitting task,334.101372,334.107452,0.00608,0.0
16, UserThread570868, Building task,334.109272,334.109842,0.00057,0.0
17, UserThread570868, Submitting task,334.111022,334.116312,0.00529,0.0
18, UserThread570868, Submitting task,334.123422,334.125872,0.00245,0.0
19, UserThread570868, Building task,334.128632,334.129212,0.00058,0.0
20, UserThread570868, Submitting task,334.131192,334.138313,0.007121,0.0
21, UserThread570868, Building task,334.141583,334.142353,0.00077,0.0
22, UserThread570868, Submitting task,334.144013,334.152653,0.00864,0.0
23, UserThread570868, Building task,334.154403,334.155013,0.00061,0.0
24, UserThread570868, Submitting task,334.156673,334.163083,0.00641,0.0
25, UserThread570868, Building task,334.164843,334.165453,0.00061,0.0
26, UserThread570868, Submitting task,334.166843,334.174213,0.00737,0.0
27, UserThread570868, Building task,334.176013,334.176623,0.00061,0.0
28, UserThread570868, Submitting task,334.177323,334.184894,0.007571,0.0
29, UserThread570868, Building task,334.185984,334.186594,0.00061,0.0
30, UserThread570868, Submitting task,334.187424,334.193894,0.00647,0.0
31, UserThread570868, Building task,334.195684,334.196304,0.00062,0.0
32, UserThread570868, Submitting task,334.197654,334.204694,0.00704,0.0
33, UserThread570868, Building task,334.206794,334.207394,0.0006,0.0
34, UserThread570868, Submitting task,334.208204,334.213854,0.00565,0.0
35, UserThread570868, Submitting task,334.220094,334.223634,0.00354,0.0
36, UserThread570868, Building task,334.224905,334.225495,0.00059,0.0
37, UserThread570868, Submitting task,334.227575,334.232095,0.00452,0.0
38, UserThread570868, Building task,334.234085,334.234695,0.00061,0.0
39, UserThread570868, Submitting task,334.236295,334.241855,0.00556,0.0
40, UserThread570868, Building task,334.243625,334.244235,0.00061,0.0
41, UserThread570868, Submitting task,334.246125,334.252195,0.00607,0.0
42, UserThread570868, Building task,334.253935,334.254535,0.0006,0.0
43, UserThread570868, Submitting task,334.256125,334.262415,0.00629,0.0
44, UserThread570868, Building task,334.264165,334.264865,0.0007,0.0
45, UserThread570868, Submitting task,334.266605,334.272076,0.005471,0.0
46, UserThread570868, Building task,334.275546,334.276156,0.00061,0.0
47, UserThread570868, Submitting task,334.277596,334.283726,0.00613,0.0
48, UserThread570868, Building task,334.285516,334.286116,0.0006,0.0
49, UserThread570868, Submitting task,334.287576,334.293336,0.00576,0.0
50, UserThread570868, Submitting task,334.297396,334.299886,0.00249,0.0
51, UserThread570868, Building task,334.301146,334.301736,0.00059,0.0
52, UserThread570868, Submitting task,334.302866,334.307946,0.00508,0.0
53, UserThread570868, Building task,334.309656,334.310266,0.00061,0.0
54, UserThread570868, Submitting task,334.311366,334.317116,0.00575,0.0
55, UserThread570868, Building task,334.318707,334.319317,0.00061,0.0
56, UserThread570868, Submitting task,334.320577,334.326807,0.00623,0.0
57, UserThread570868, Building task,334.328367,334.328967,0.0006,0.0
58, UserThread570868, Submitting task,334.330547,334.336617,0.00607,0.0
59, UserThread570868, Building task,334.338447,334.339047,0.0006,0.0
60, UserThread570868, Submitting task,334.340597,334.345877,0.00528,0.0
61, UserThread570868, Building task,334.348007,334.348607,0.0006,0.0
62, UserThread570868, Submitting task,334.350357,334.355757,0.0054,0.0
63, UserThread570868, Submitting task,334.362087,334.364748,0.002661,0.0
64, UserThread570868, Building task,334.366278,334.366898,0.00062,0.0
65, UserThread570868, Submitting task,334.368358,334.373198,0.00484,0.0
66, UserThread570868, Building task,334.375938,334.376548,0.00061,0.0
67, UserThread570868, Submitting task,334.378558,334.384298,0.00574,0.0
68, UserThread570868, Building task,334.385558,334.386178,0.00062,0.0
69, UserThread570868, Submitting task,334.388058,334.393658,0.0056,0.0
70, UserThread570868, Building task,334.395408,334.396008,0.0006,0.0
71, UserThread570868, Submitting task,334.397298,334.402778,0.00548,0.0
72, UserThread570868, Building task,334.404368,334.404968,0.0006,0.0
73, UserThread570868, Submitting task,334.406158,334.412259,0.006101,0.0
74, UserThread570868, Submitting task,334.417509,334.419919,0.00241,0.0
75, UserThread570868, Building task,334.421689,334.422289,0.0006,0.0
76, UserThread570868, Submitting task,334.423809,334.429539,0.00573,0.0
77, UserThread570868, Building task,334.431349,334.431949,0.0006,0.0
78, UserThread570868, Submitting task,334.433209,334.439509,0.0063,0.0
79, UserThread570868, Building task,334.440909,334.441509,0.0006,0.0
80, UserThread570868, Submitting task,334.442849,334.448479,0.00563,0.0
81, UserThread570868, Building task,334.450169,334.450769,0.0006,0.0
82, UserThread570868, Submitting task,334.452159,334.4582,0.006041,0.0
83, UserThread570868, Submitting task,334.46366,334.46578,0.00212,0.0
84, UserThread570868, Building task,334.46702,334.46761,0.00059,0.0
85, UserThread570868, Submitting task,334.46893,334.47353,0.0046,0.0
86, UserThread570868, Building task,334.47529,334.4759,0.00061,0.0
87, UserThread570868, Submitting task,334.47682,334.48286,0.00604,0.0
88, UserThread570868, Building task,334.48389,334.48463,0.00074,0.0
89, UserThread570868, Submitting task,334.48553,334.49098,0.00545,0.0
90, UserThread570868, Submitting task,334.49576,334.49849,0.00273,0.0
91, UserThread570868, Building task,334.50042,334.50101,0.00059,0.0
92, UserThread570868, Submitting task,334.50234,334.506831,0.004491,0.0
93, UserThread570868, Building task,334.510101,334.510711,0.00061,0.0
94, UserThread570868, Submitting task,334.511781,334.516941,0.00516,0.0
95, UserThread570868, Submitting task,334.522491,334.525111,0.00262,0.0
96, UserThread570868, Building task,334.526471,334.527051,0.00058,0.0
97, UserThread570868, Submitting task,334.528111,334.533331,0.00522,0.0
98, UserThread570868, Submitting task,334.537681,334.539851,0.00217,0.0
99, UserThread570868, Building task,334.541471,334.542051,0.00058,0.0
100, UserThread570868, Submitting task,334.543181,334.547211,0.00403,0.0
101, UserThread570868, Building task,334.548521,334.549121,0.0006,0.0
102, UserThread570868, Submitting task,334.550832,334.556572,0.00574,0.0
103, UserThread570868, Building task,334.558312,334.558912,0.0006,0.0
104, UserThread570868, Submitting task,334.559972,334.564212,0.00424,0.0
105, UserThread570868, Building task,334.565792,334.566382,0.00059,0.0
106, UserThread570868, Submitting task,334.568032,334.572572,0.00454,0.0
107, UserThread570868, Building task,334.574532,334.575112,0.00058,0.0
108, UserThread570868, Submitting task,334.575912,334.579762,0.00385,0.0
109, UserThread570868, Building task,334.581512,334.582092,0.00058,0.0
110, UserThread570868, Submitting task,334.583492,334.588842,0.00535,0.0
111, UserThread570868, Building task,334.590822,334.591402,0.00058,0.0
112, UserThread570868, Submitting task,334.592442,334.596303,0.003861,0.0
113, UserThread570868, Building task,334.597853,334.598433,0.00058,0.0
114, UserThread570868, Submitting task,334.599753,334.603893,0.00414,0.0
115, UserThread570868, Submitting task,334.607553,334.610413,0.00286,0.0
116, UserThread570868, Building task,334.629403,334.630123,0.00072,0.0
117, UserThread570868, Submitting task,334.630743,334.635263,0.00452,0.0
118, UserThread570868, Building task,334.636183,334.636803,0.00062,0.0
119, UserThread570868, Submitting task,334.637373,334.643404,0.006031,0.0
120, UserThread570868, Building task,334.644254,334.644874,0.00062,0.0
121, UserThread570868, Submitting task,334.652164,334.657064,0.0049,0.0
122, UserThread570868, Building task,334.657844,334.658474,0.00063,0.0
