
Thread,Function,Start,Finish,Duration
P#14T#0,main,253969329,254132202,162873
P#30T#0,main,261457436,261685734,228298
P#11T#0,main,263272093,263473416,201323
P#13T#0,main,251828994,268260188,16431194
P#8T#0,main,275657348,275817263,159915
P#1T#0,main,276963313,277112988,149675
P#19T#0,main,277817928,277998346,180418
P#12T#0,main,279115916,279261504,145588
P#23T#0,main,274065810,280090766,6024956
P#9T#0,main,267880336,282261311,14380975
P#25T#0,main,283164363,283321338,156975
P#18T#0,main,285859645,286053994,194349
P#28T#0,main,280708873,287591658,6882785
P#15T#0,main,287636177,287765904,129727
P#4T#0,main,289932634,290077450,144816
P#2T#0,main,280277677,290639844,10362167
P#10T#0,main,292029381,292184823,155442
P#24T#0,main,297238881,297418215,179334
P#26T#0,main,300471956,300663746,191790
P#31T#0,main,301270516,301412088,141572
P#27T#0,main,301997663,302175952,178289
P#16T#0,main,309670901,309897021,226120
P#29T#0,main,310546230,310702131,155901
P#22T#0,main,304847449,315675070,10827621
P#7T#0,main,318332350,318462629,130279
P#3T#0,main,318585784,318780436,194652
P#20T#0,main,320353248,320540704,187456
P#21T#0,main,325112401,325287566,175165
P#17T#0,main,325587252,325724863,137611
P#5T#0,main,337516082,337705819,189737
P#6T#0,main,350386021,355917720,5531699
P#0T#0,main,1476625832,1476876238,250406
P#23T#0,MPI_Barrier,280090766,1883886339,1603795573
P#23T#0,main,1883886339,1883953110,66771
P#13T#0,MPI_Barrier,268260188,1884019149,1615758961
P#13T#0,main,1884019149,1884076848,57699
P#11T#0,MPI_Barrier,263473416,1888099894,1624626478
P#11T#0,main,1888099894,1888210397,110503
P#25T#0,MPI_Barrier,283321338,1896109090,1612787752
P#25T#0,main,1896109090,1896218703,109613
P#27T#0,MPI_Barrier,302175952,1898585420,1596409468
P#27T#0,main,1898585420,1898677055,91635
P#12T#0,MPI_Barrier,279261504,1900015569,1620754065
P#15T#0,MPI_Barrier,287765904,1900072634,1612306730
P#12T#0,main,1900015569,1900096056,80487
P#15T#0,main,1900072634,1900137257,64623
P#31T#0,MPI_Barrier,301412088,1907497460,1606085372
P#31T#0,main,1907497460,1907560078,62618
P#28T#0,MPI_Barrier,287591658,1908026187,1620434529
P#28T#0,main,1908026187,1908083986,57799
P#22T#0,MPI_Barrier,315675070,1908110746,1592435676
P#22T#0,main,1908110746,1908220472,109726
P#14T#0,MPI_Barrier,254132202,1908389816,1654257614
P#14T#0,main,1908389816,1908468155,78339
P#26T#0,MPI_Barrier,300663746,1912013591,1611349845
P#29T#0,MPI_Barrier,310702131,1912066079,1601363948
P#1T#0,MPI_Barrier,277112988,1912079200,1634966212
P#26T#0,main,1912013591,1912089665,76074
P#29T#0,main,1912066079,1912169298,103219
P#1T#0,main,1912079200,1912189079,109879
P#1T#0,MPI_Recv,1912189079,1912298398,109319
P#1T#0,main,1912298398,1912463806,165408
P#1T#0,MPI_Send,1912463806,1912563643,99837
P#1T#0,main,1912563643,1912584714,21071
P#6T#0,MPI_Barrier,355917720,1916017805,1560100085
P#6T#0,main,1916017805,1916127549,109744
P#10T#0,MPI_Barrier,292184823,1922216219,1630031396
P#10T#0,main,1922216219,1922283327,67108
P#19T#0,MPI_Barrier,277998346,1924097553,1646099207
P#19T#0,main,1924097553,1924206790,109237
P#20T#0,MPI_Barrier,320540704,1926138540,1605597836
P#20T#0,main,1926138540,1926197205,58665
P#7T#0,MPI_Barrier,318462629,1928066708,1609604079
P#24T#0,MPI_Barrier,297418215,1928066818,1630648603
P#8T#0,MPI_Barrier,275817263,1928114246,1652296983
P#30T#0,MPI_Barrier,261685734,1928126609,1666440875
P#7T#0,main,1928066708,1928143022,76314
P#24T#0,main,1928066818,1928167041,100223
P#30T#0,main,1928126609,1928219426,92817
P#8T#0,main,1928114246,1928219656,105410
P#9T#0,MPI_Barrier,282261311,1932126605,1649865294
P#9T#0,main,1932126605,1932232861,106256
P#5T#0,MPI_Barrier,337705819,1936142652,1598436833
P#5T#0,main,1936142652,1936235568,92916
P#5T#0,MPI_Recv,1936235568,1936295484,59916
P#5T#0,main,1936295484,1936419661,124177
P#5T#0,MPI_Send,1936419661,1936434249,14588
P#5T#0,main,1936434249,1936446641,12392
P#17T#0,MPI_Barrier,325724863,1940097334,1614372471
P#4T#0,MPI_Barrier,290077450,1940131154,1650053704
P#17T#0,main,1940097334,1940204091,106757
P#4T#0,main,1940131154,1940304227,173073
P#4T#0,MPI_Recv,1940304227,1940658957,354730
P#4T#0,main,1940658957,1940786248,127291
P#4T#0,MPI_Send,1940786248,1940801739,15491
P#4T#0,main,1940801739,1940815869,14130
P#0T#0,MPI_Barrier,1476876238,1942752178,465875940
P#0T#0,main,1942752178,1942890197,138019
P#0T#0,MPI_Send,1942890197,1942933298,43101
P#0T#0,main,1942933298,1942976252,42954
P#3T#0,MPI_Barrier,318780436,1946499262,1627718826
P#3T#0,main,1946499262,1946569967,70705
P#18T#0,MPI_Barrier,286053994,1948065601,1662011607
P#21T#0,MPI_Barrier,325287566,1948065858,1622778292
P#16T#0,MPI_Barrier,309897021,1948080732,1638183711
P#21T#0,main,1948065858,1948142992,77134
P#18T#0,main,1948065601,1948309977,244376
P#16T#0,main,1948080732,1948325136,244404
P#2T#0,MPI_Barrier,290639844,1954805176,1664165332
P#2T#0,main,1954805176,1954882882,77706
P#2T#0,MPI_Recv,1954882882,1954937334,54452
P#2T#0,main,1954937334,1955061469,124135
P#2T#0,MPI_Send,1955061469,1955076270,14801
P#2T#0,main,1955076270,1955089507,13237
P#6T#0,MPI_Recv,1916127549,1955961425,39833876
P#6T#0,main,1955961425,1956108487,147062
P#6T#0,MPI_Send,1956108487,1956132552,24065
P#6T#0,main,1956132552,1956150013,17461
P#3T#0,MPI_Recv,1946569967,1962717488,16147521
P#3T#0,main,1962717488,1963144540,427052
P#3T#0,MPI_Send,1963144540,1963173710,29170
P#3T#0,main,1963173710,1963192468,18758
P#7T#0,MPI_Recv,1928143022,1968055833,39912811
P#7T#0,main,1968055833,1968194885,139052
P#7T#0,MPI_Send,1968194885,1968212474,17589
P#7T#0,main,1968212474,1968225673,13199
P#8T#0,MPI_Recv,1928219656,1992297924,64078268
P#8T#0,main,1992297924,1992432690,134766
P#8T#0,MPI_Send,1992432690,1992448439,15749
P#8T#0,main,1992448439,1992461902,13463
P#13T#0,MPI_Recv,1884076848,2006067529,121990681
P#13T#0,main,2006067529,2006205836,138307
P#13T#0,MPI_Send,2006205836,2006224426,18590
P#13T#0,main,2006224426,2006238971,14545
P#11T#0,MPI_Recv,1888210397,2006744750,118534353
P#11T#0,main,2006744750,2006887190,142440
P#11T#0,MPI_Send,2006887190,2006909189,21999
P#11T#0,main,2006909189,2006924006,14817
P#9T#0,MPI_Recv,1932232861,2007230131,74997270
P#9T#0,main,2007230131,2007369696,139565
P#9T#0,MPI_Send,2007369696,2007388209,18513
P#9T#0,main,2007388209,2007402452,14243
P#12T#0,MPI_Recv,1900096056,2017396888,117300832
P#12T#0,main,2017396888,2017545778,148890
P#12T#0,MPI_Send,2017545778,2017564179,18401
P#12T#0,main,2017564179,2017579841,15662
P#14T#0,MPI_Recv,1908468155,2024043507,115575352
P#14T#0,main,2024043507,2024265122,221615
P#14T#0,MPI_Send,2024265122,2024284181,19059
P#14T#0,main,2024284181,2024309485,25304
P#15T#0,MPI_Recv,1900137257,2028101787,127964530
P#15T#0,main,2028101787,2028246733,144946
P#15T#0,MPI_Send,2028246733,2028269389,22656
P#15T#0,main,2028269389,2028284813,15424
P#10T#0,MPI_Recv,1922283327,2028683280,106399953
P#10T#0,main,2028683280,2028828598,145318
P#10T#0,MPI_Send,2028828598,2028850431,21833
P#10T#0,main,2028850431,2028865245,14814
P#16T#0,MPI_Recv,1948325136,2140334885,192009749
P#16T#0,main,2140334885,2140481146,146261
P#16T#0,MPI_Send,2140481146,2140513849,32703
P#16T#0,main,2140513849,2140528445,14596
P#17T#0,MPI_Recv,1940204091,2148156904,207952813
P#19T#0,MPI_Recv,1924206790,2148326296,224119506
P#17T#0,main,2148156904,2148387603,230699
P#17T#0,MPI_Send,2148387603,2148406500,18897
P#17T#0,main,2148406500,2148421877,15377
P#19T#0,main,2148326296,2148468153,141857
P#19T#0,MPI_Send,2148468153,2148490656,22503
P#19T#0,main,2148490656,2148505245,14589
P#18T#0,MPI_Recv,1948309977,2152067675,203757698
P#18T#0,main,2152067675,2152200735,133060
P#18T#0,MPI_Send,2152200735,2152216649,15914
P#18T#0,main,2152216649,2152230576,13927
P#20T#0,MPI_Recv,1926197205,2200082527,273885322
P#20T#0,main,2200082527,2200236205,153678
P#20T#0,MPI_Send,2200236205,2200261831,25626
P#20T#0,main,2200261831,2200278136,16305
P#22T#0,MPI_Recv,1908220472,2204218003,295997531
P#22T#0,main,2204218003,2204363789,145786
P#22T#0,MPI_Send,2204363789,2204385346,21557
P#22T#0,main,2204385346,2204397863,12517
P#21T#0,MPI_Recv,1948142992,2208056442,259913450
P#21T#0,main,2208056442,2208307657,251215
P#21T#0,MPI_Send,2208307657,2208327576,19919
P#21T#0,main,2208327576,2208343415,15839
P#23T#0,MPI_Recv,1883953110,2255326568,371373458
P#23T#0,main,2255326568,2255475468,148900
P#23T#0,MPI_Send,2255475468,2255496972,21504
P#23T#0,main,2255496972,2255511182,14210
P#25T#0,MPI_Recv,1896218703,2276290130,380071427
P#25T#0,main,2276290130,2276423431,133301
P#25T#0,MPI_Send,2276423431,2276441302,17871
P#25T#0,main,2276441302,2276455947,14645
P#24T#0,MPI_Recv,1928167041,2292054611,363887570
P#24T#0,main,2292054611,2292186003,131392
P#24T#0,MPI_Send,2292186003,2292201399,15396
P#24T#0,main,2292201399,2292215426,14027
P#26T#0,MPI_Recv,1912089665,2296052434,383962769
P#26T#0,main,2296052434,2296189628,137194
P#26T#0,MPI_Send,2296189628,2296210777,21149
P#26T#0,main,2296210777,2296227379,16602
P#27T#0,MPI_Recv,1898677055,2304098637,405421582
P#27T#0,main,2304098637,2304247881,149244
P#27T#0,MPI_Send,2304247881,2304268272,20391
P#27T#0,main,2304268272,2304283463,15191
P#28T#0,MPI_Recv,1908083986,2320252199,412168213
P#28T#0,main,2320252199,2320421938,169739
P#28T#0,MPI_Send,2320421938,2320443539,21601
P#28T#0,main,2320443539,2320460748,17209
P#29T#0,MPI_Recv,1912169298,2339131739,426962441
P#29T#0,main,2339131739,2339286831,155092
P#29T#0,MPI_Send,2339286831,2339310615,23784
P#29T#0,main,2339310615,2339327536,16921
P#30T#0,MPI_Recv,1928219426,2343369220,415149794
P#30T#0,main,2343369220,2343502141,132921
P#30T#0,MPI_Send,2343502141,2343520555,18414
P#30T#0,main,2343520555,2343533579,13024
P#31T#0,MPI_Recv,1907560078,2343566315,436006237
P#31T#0,main,2343566315,2343708058,141743
P#31T#0,MPI_Send,2343708058,2343725072,17014
P#31T#0,main,2343725072,2343747255,22183
P#15T#0,MPI_Barrier,2028284813,2360158181,331873368
P#15T#0,main,2360158181,2360188979,30798
P#13T#0,MPI_Barrier,2006238971,2364035318,357796347
P#13T#0,main,2364035318,2364151598,116280
P#11T#0,MPI_Barrier,2006924006,2364160247,357236241
P#11T#0,main,2364160247,2364197803,37556
P#12T#0,MPI_Barrier,2017579841,2376030718,358450877
P#25T#0,MPI_Barrier,2276455947,2376039350,99583403
P#31T#0,MPI_Barrier,2343747255,2376119430,32372175
P#12T#0,main,2376030718,2376142794,112076
P#31T#0,main,2376119430,2376148804,29374
P#25T#0,main,2376039350,2376149227,109877
P#30T#0,MPI_Barrier,2343533579,2383104649,39571070
P#30T#0,main,2383104649,2383122674,18025
P#27T#0,MPI_Barrier,2304283463,2388007632,83724169
P#27T#0,main,2388007632,2388036113,28481
P#26T#0,MPI_Barrier,2296227379,2391996109,95768730
P#26T#0,main,2391996109,2392020208,24099
P#1T#0,MPI_Barrier,1912584714,2392028915,479444201
P#22T#0,MPI_Barrier,2204397863,2392041262,187643399
P#28T#0,MPI_Barrier,2320460748,2392048389,71587641
P#28T#0,main,2392048389,2392073459,25070
P#1T#0,main,2392028915,2392135979,107064
P#22T#0,main,2392041262,2392146159,104897
P#1T#0,MPI_Recv,2392135979,2392148834,12855
P#1T#0,main,2392148834,2392257330,108496
P#1T#0,MPI_Send,2392257330,2392264173,6843
P#1T#0,main,2392264173,2392452045,187872
P#7T#0,MPI_Barrier,1968225673,2394788011,426562338
P#7T#0,main,2394788011,2394817936,29925
P#23T#0,MPI_Barrier,2255511182,2396013258,140502076
P#23T#0,main,2396013258,2396043329,30071
P#4T#0,MPI_Barrier,1940815869,2399968774,459152905
P#4T#0,main,2399968774,2400077263,108489
P#19T#0,MPI_Barrier,2148505245,2400169106,251663861
P#19T#0,main,2400169106,2400200081,30975
P#29T#0,MPI_Barrier,2339327536,2404011899,64684363
P#24T#0,MPI_Barrier,2292215426,2404012133,111796707
P#14T#0,MPI_Barrier,2024309485,2404018537,379709052
P#20T#0,MPI_Barrier,2200278136,2404027422,203749286
P#21T#0,MPI_Barrier,2208343415,2404031222,195687807
P#24T#0,main,2404012133,2404035772,23639
P#29T#0,main,2404011899,2404038284,26385
P#14T#0,main,2404018537,2404131739,113202
P#20T#0,main,2404027422,2404135051,107629
P#21T#0,main,2404031222,2404137251,106029
P#8T#0,MPI_Barrier,1992461902,2404194148,411732246
P#8T#0,main,2404194148,2404226621,32473
P#10T#0,MPI_Barrier,2028865245,2406204315,377339070
P#10T#0,main,2406204315,2406233080,28765
P#9T#0,MPI_Barrier,2007402452,2408001586,400599134
P#9T#0,main,2408001586,2408030787,29201
P#6T#0,MPI_Barrier,1956150013,2411986304,455836291
P#6T#0,main,2411986304,2412078276,91972
P#3T#0,MPI_Barrier,1963192468,2418639212,455446744
P#3T#0,main,2418639212,2418675667,36455
P#0T#0,MPI_Recv,1942976252,2418702184,475725932
P#0T#0,main,2418702184,2418728868,26684
P#0T#0,MPI_Barrier,2418728868,2418770838,41970
P#0T#0,main,2418770838,2418791484,20646
P#0T#0,MPI_Send,2418791484,2418802775,11291
P#0T#0,main,2418802775,2418811773,8998
P#2T#0,MPI_Barrier,1955089507,2418819352,463729845
P#2T#0,main,2418819352,2418852757,33405
P#18T#0,MPI_Barrier,2152230576,2424018168,271787592
P#17T#0,MPI_Barrier,2148421877,2424025076,275603199
P#18T#0,main,2424018168,2424121240,103072
P#17T#0,main,2424025076,2424128060,102984
P#16T#0,MPI_Barrier,2140528445,2432019050,291490605
P#5T#0,MPI_Barrier,1936446641,2432081217,495634576
P#5T#0,main,2432081217,2432112568,31351
P#16T#0,main,2432019050,2432125293,106243
P#5T#0,MPI_Recv,2432112568,2432129410,16842
P#5T#0,main,2432129410,2432242600,113190
