
Thread,Function,Start,Finish,Duration
P#0T#0,MPI_Barrier,23839473,24420186,580713
P#0T#0,MPI_Barrier,25177264,25206631,29367
P#0T#0,MPI_Barrier,25728983,25748712,19729
P#0T#0,MPI_Barrier,26130366,26146695,16329
P#0T#0,MPI_Barrier,26494756,26510313,15557
P#0T#0,MPI_Barrier,26968033,27075727,107694
P#0T#0,MPI_Barrier,27442365,27460050,17685
P#0T#0,MPI_Barrier,27852596,27870808,18212
P#0T#0,MPI_Barrier,28229271,28247044,17773
P#0T#0,MPI_Barrier,28642080,28663965,21885
P#0T#0,MPI_Barrier,29029147,29084554,55407
P#0T#0,MPI_Send,24420186,24697476,277290
P#0T#0,MPI_Send,25206631,25219029,12398
P#0T#0,MPI_Send,25748712,25764747,16035
P#0T#0,MPI_Send,26146695,26156284,9589
P#0T#0,MPI_Send,26510313,26519663,9350
P#0T#0,MPI_Send,27075727,27086083,10356
P#0T#0,MPI_Send,27460050,27470685,10635
P#0T#0,MPI_Send,27870808,27885781,14973
P#0T#0,MPI_Send,28247044,28257488,10444
P#0T#0,MPI_Send,28663965,28677193,13228
P#0T#0,MPI_Recv,24697476,25177264,479788
P#0T#0,MPI_Recv,25219029,25728983,509954
P#0T#0,MPI_Recv,25764747,26130366,365619
P#0T#0,MPI_Recv,26156284,26494756,338472
P#0T#0,MPI_Recv,26519663,26968033,448370
P#0T#0,MPI_Recv,27086083,27442365,356282
P#0T#0,MPI_Recv,27470685,27852596,381911
P#0T#0,MPI_Recv,27885781,28229271,343490
P#0T#0,MPI_Recv,28257488,28642080,384592
P#0T#0,MPI_Recv,28677193,29029147,351954
P#0T#0,Loop_0,23839473,25177264,1337791
P#0T#0,Loop_0,25177264,25728983,551719
P#0T#0,Loop_0,26116553,26517936,401383
P#0T#0,Loop_0,26484653,26849043,364390
P#0T#0,Loop_0,26896159,27369436,473277
P#0T#0,Loop_0,27430815,27905147,474332
P#0T#0,Loop_0,27840181,28250412,410231
P#0T#0,Loop_0,28217588,28594263,376675
P#0T#0,Loop_0,28627807,29040616,412809
P#0T#0,Loop_0,29015701,29402768,387067
P#0T#0,main,23603869,29084554,5480685
P#1T#0,MPI_Barrier,7747561,24399149,16651588
P#1T#0,MPI_Barrier,24810285,25215879,405594
P#1T#0,MPI_Barrier,25488970,25746368,257398
P#1T#0,MPI_Barrier,25880632,26139571,258939
P#1T#0,MPI_Barrier,26263327,26503204,239877
P#1T#0,MPI_Barrier,26625982,27056406,430424
P#1T#0,MPI_Barrier,27196431,27457444,261013
P#1T#0,MPI_Barrier,27582168,27862517,280349
P#1T#0,MPI_Barrier,27993290,28239292,246002
P#1T#0,MPI_Barrier,28384846,28656403,271557
P#1T#0,MPI_Barrier,28787220,29081588,294368
P#1T#0,MPI_Recv,24399149,24791164,392015
P#1T#0,MPI_Recv,25215879,25330674,114795
P#1T#0,MPI_Recv,25746368,25867301,120933
P#1T#0,MPI_Recv,26139571,26253630,114059
P#1T#0,MPI_Recv,26503204,26617273,114069
P#1T#0,MPI_Recv,27056406,27186588,130182
P#1T#0,MPI_Recv,27457444,27571031,113587
P#1T#0,MPI_Recv,27862517,27983625,121108
P#1T#0,MPI_Recv,28239292,28355382,116090
P#1T#0,MPI_Recv,28656403,28774856,118453
P#1T#0,MPI_Send,24791164,24810285,19121
P#1T#0,MPI_Send,25330674,25488970,158296
P#1T#0,MPI_Send,25867301,25880632,13331
P#1T#0,MPI_Send,26253630,26263327,9697
P#1T#0,MPI_Send,26617273,26625982,8709
P#1T#0,MPI_Send,27186588,27196431,9843
P#1T#0,MPI_Send,27571031,27582168,11137
P#1T#0,MPI_Send,27983625,27993290,9665
P#1T#0,MPI_Send,28355382,28384846,29464
P#1T#0,MPI_Send,28774856,28787220,12364
