
Thread,Function,Start,Finish,Duration
P#0T#0,MPI_Comm_dup,17018934,17827911,808977
P#0T#0,MPI_Comm_dup,17827911,18780031,952120
P#0T#0,mpi_bcast_,18780031,19047457,267426
P#0T#0,mpi_bcast_,19086381,19098002,11621
P#0T#0,mpi_bcast_,19098002,19107169,9167
P#0T#0,mpi_bcast_,19107169,42937797,23830628
P#0T#0,mpi_bcast_,19047457,19069264,21807
P#0T#0,mpi_bcast_,19069264,19086381,17117
P#0T#0,mpi_irecv_,42937797,43012794,74997
P#0T#0,mpi_irecv_,171960203,172002008,41805
P#0T#0,mpi_irecv_,278381107,278527227,146120
P#0T#0,mpi_irecv_,384497120,384567728,70608
P#0T#0,mpi_irecv_,487731930,487787868,55938
P#0T#0,mpi_irecv_,592413255,592468086,54831
P#0T#0,mpi_irecv_,691411274,691465567,54293
P#0T#0,mpi_irecv_,790290185,790347700,57515
P#0T#0,mpi_irecv_,878780087,878839047,58960
P#0T#0,mpi_irecv_,956478455,956532254,53799
P#0T#0,mpi_irecv_,1019614536,1019670839,56303
P#0T#0,mpi_irecv_,1082380982,1082470653,89671
P#0T#0,mpi_irecv_,1145495509,1145555107,59598
P#0T#0,mpi_irecv_,1208130090,1208190390,60300
P#0T#0,mpi_irecv_,1271035756,1271117907,82151
P#0T#0,mpi_irecv_,1334124159,1334184758,60599
P#0T#0,mpi_irecv_,1398307999,1398358320,50321
P#0T#0,mpi_irecv_,1461300666,1461351050,50384
P#0T#0,mpi_irecv_,1523547812,1523620623,72811
P#0T#0,mpi_irecv_,1586444367,1586504029,59662
P#0T#0,mpi_irecv_,1676848060,1676929379,81319
P#0T#0,mpi_irecv_,1758086164,1758144295,58131
P#0T#0,mpi_irecv_,1820716844,1820784817,67973
P#0T#0,mpi_irecv_,1883508128,1883562510,54382
P#0T#0,mpi_irecv_,1948145034,1948209479,64445
P#0T#0,mpi_irecv_,2010586398,2010636937,50539
P#0T#0,mpi_irecv_,2072887868,2072941347,53479
P#0T#0,mpi_irecv_,2135191247,2135242188,50941
P#0T#0,mpi_irecv_,2197595617,2197656510,60893
P#0T#0,mpi_irecv_,2259687063,2259739503,52440
P#0T#0,mpi_irecv_,2321650467,2321709498,59031
P#0T#0,mpi_irecv_,2386232325,2386298369,66044
P#0T#0,mpi_irecv_,2477100120,2477153059,52939
P#0T#0,mpi_irecv_,2553543132,2553605825,62693
P#0T#0,mpi_irecv_,2616847722,2616907171,59449
P#0T#0,mpi_irecv_,2679377112,2679459109,81997
P#0T#0,mpi_irecv_,2742196884,2742246480,49596
P#0T#0,mpi_irecv_,2805095970,2805146531,50561
P#0T#0,mpi_irecv_,2867767939,2867840039,72100
P#0T#0,mpi_irecv_,2930228566,2930281058,52492
P#0T#0,mpi_irecv_,2992270545,2992321984,51439
P#0T#0,mpi_irecv_,3058146338,3058206492,60154
P#0T#0,mpi_irecv_,3120645337,3120761897,116560
P#0T#0,mpi_irecv_,3183050782,3183106769,55987
P#0T#0,mpi_irecv_,3276501128,3276560750,59622
P#0T#0,mpi_irecv_,3351757410,3351815117,57707
P#0T#0,mpi_irecv_,3414756544,3414817472,60928
P#0T#0,mpi_irecv_,3477763170,3477816389,53219
P#0T#0,mpi_irecv_,3540343357,3540393907,50550
P#0T#0,mpi_irecv_,3603382536,3603452051,69515
P#0T#0,mpi_irecv_,3666139843,3666192529,52686
P#0T#0,mpi_irecv_,3729402575,3729455151,52576
P#0T#0,mpi_irecv_,3791556118,3791607574,51456
P#0T#0,mpi_irecv_,3854017476,3854071968,54492
P#0T#0,mpi_irecv_,3916138549,3916203539,64990
P#0T#0,mpi_irecv_,3979239835,3979305869,66034
P#0T#0,mpi_irecv_,4069174416,4069229342,54926
P#0T#0,mpi_irecv_,4146661508,4146720327,58819
P#0T#0,mpi_irecv_,4209069088,4209124303,55215
